U+3017A	𰅺	wohj
U+3017B	𰅻	ojwl
U+3017C	𰅼	fqdf
U+3017D	𰅽	tviti
U+3017E	𰅾	ysht
U+3017F	𰅿	fqgth
U+30180	𰆀	jbjbj
U+30181	𰆁	httag
U+30182	𰆂	jbjbb
U+30183	𰆃	ywk
U+30184	𰆄	yalm
U+30185	𰆅	ywmr
U+30186	𰆆	ynmjb
U+30187	𰆇	ybybe
U+30188	𰆈	yncik
U+30189	𰆉	ybesj
U+3018A	𰆊	sl
U+3018B	𰆋	slsl
U+3018C	𰆌	asl
U+3018D	𰆍	ojsl
U+3018E	𰆎	bsli
U+3018F	𰆏	husl
U+30190	𰆐	wgsl
U+30191	𰆑	jasl
U+30192	𰆒	hfsl
U+30193	𰆓	kesli
U+30194	𰆔	dqhhl
U+30195	𰆕	mik
U+30196	𰆖	mmmu
U+30197	𰆗	myk
U+30198	𰆘	mhqm
U+30199	𰆙	mdt
U+3019A	𰆚	momm
U+3019B	𰆛	mipu
U+3019C	𰆜	myfe
U+3019D	𰆝	mays
U+3019E	𰆞	mhxn
U+3019F	𰆟	mfb
U+301A0	𰆠	miav
U+301A1	𰆡	mggo
U+301A2	𰆢	mgge
U+301A3	𰆣	mgge
U+301A4	𰆤	mhse
U+301A5	𰆥	mytu
U+301A5	𰆥	mytv
U+301A6	𰆦	mvjh
U+301A7	𰆧	mopr
U+301A8	𰆨	mtcc
U+301A9	𰆩	mhqv
U+301AA	𰆪	mtbk
U+301AB	𰆫	mitgt
U+301AC	𰆬	mfmhf
U+301AD	𰆭	ihni
U+301AE	𰆮	ikmmu
U+301AF	𰆯	giwg
U+301B0	𰆰	ohe
U+301B1	𰆱	mfe
U+301B2	𰆲	ume
U+301B3	𰆳	eop
U+301B4	𰆴	yye
U+301B5	𰆵	nej
U+301B6	𰆶	eal
U+301B7	𰆷	ekun
U+301B8	𰆸	bue
U+301B9	𰆹	lwe
U+301BA	𰆺	ose
U+301BB	𰆻	egg
U+301BC	𰆼	sesle
U+301BD	𰆽	eepi
U+301BE	𰆾	neyt
U+301BF	𰆿	oose
U+301C0	𰇀	yoe
U+301C1	𰇁	eiikh
U+301C2	𰇂	bsje
U+301C3	𰇃	eeeo
U+301C4	𰇄	oehe
U+301C4	𰇄	oeme
U+301C5	𰇅	ebekb
U+301C6	𰇆	emsme
U+301C7	𰇇	rmm
U+301C8	𰇈	crn
U+301C9	𰇉	nr
U+301CA	𰇊	rqni
U+301CB	𰇋	byr
U+301CC	𰇌	htr
U+301CD	𰇍	eer
U+301CE	𰇎	rkd
U+301CF	𰇏	rbu
U+301D0	𰇐	rw
U+301D1	𰇑	bmr
U+301D1	𰇑	btr
U+301D2	𰇒	roon
U+301D3	𰇓	rylb
U+301D4	𰇔	qorp
U+301D5	𰇕	rkt
U+301D6	𰇖	rmis
U+301D7	𰇗	rqr
U+301D8	𰇘	rbon
U+301D9	𰇙	byrp
U+301DA	𰇚	rnoy
U+301DB	𰇛	roik
U+301DC	𰇜	ronk
U+301DD	𰇝	iore
U+301DE	𰇞	rykn
U+301DF	𰇟	ibfr
U+301E0	𰇠	krop
U+301E1	𰇡	rvmn
U+301E2	𰇢	red
U+301E3	𰇣	rei
U+301E4	𰇤	mrrp
U+301E5	𰇥	ryms
U+301E6	𰇦	rgpu
U+301E7	𰇧	rgdk
U+301E8	𰇨	rcrp
U+301E9	𰇩	bcr
U+301EA	𰇪	rrl
U+301EB	𰇫	rrau
U+301EC	𰇬	rhhl
U+301ED	𰇭	jivr
U+301EE	𰇮	neomr
U+301EF	𰇯	slr
U+301F0	𰇰	rsqi
U+301F1	𰇱	rshmr
U+301F2	𰇲	roio
U+301F3	𰇳	rnai
U+301F3	𰇳	rshi
U+301F4	𰇴	oryt
U+301F5	𰇵	rhsl
U+301F6	𰇶	rktj
U+301F7	𰇷	rysk
U+301F8	𰇸	ryvu
U+301F9	𰇹	regi
U+301FA	𰇺	ilor
U+301FB	𰇻	rnno
U+301FC	𰇼	rikh
U+301FD	𰇽	rnhi
U+301FE	𰇾	srbmr
U+301FF	𰇿	mrtp
U+30200	𰈀	gorp
U+30201	𰈁	rqlo
U+30202	𰈂	rmge
U+30202	𰈂	rmgk
U+30203	𰈃	rqpa
U+30204	𰈄	rqor
U+30205	𰈅	wlrp
U+30206	𰈆	rliu
U+30207	𰈇	rfbi
U+30208	𰈈	rypb
U+30209	𰈉	rlpb
U+3020A	𰈊	ryrf
U+3020B	𰈋	rkhi
U+3020C	𰈌	ehrp
U+3020D	𰈍	rytd
U+3020E	𰈎	rjyf
U+3020F	𰈏	rnst
U+30210	𰈐	rvvu
U+30211	𰈑	tcrp
U+30212	𰈒	rmbp
U+30213	𰈓	rlit
U+30214	𰈔	rwmo
U+30215	𰈕	hlrp
U+30216	𰈖	lyrp
U+30217	𰈗	orrp
U+30218	𰈘	rhod
U+30219	𰈙	rhyn
U+3021A	𰈚	rjoc
U+3021B	𰈛	ivhmr
U+3021C	𰈜	lhhbr
U+3021D	𰈝	rndc
U+3021E	𰈞	rvld
U+3021F	𰈟	hrhkr
U+3021F	𰈟	mrmkr
U+30220	𰈠	pgrp
U+30221	𰈡	rfbk
U+30222	𰈢	rham
U+30223	𰈣	rolb
U+30224	𰈤	rhyt
U+30225	𰈥	rbcu
U+30226	𰈦	rort
U+30227	𰈧	hrr
U+30228	𰈨	ryhj
U+30229	𰈩	hrrrn
U+30229	𰈩	mrrrn
U+3022A	𰈪	rimp
U+3022B	𰈫	mgjr
U+3022C	𰈬	rrru
U+3022D	𰈭	rogf
U+3022E	𰈮	rvmj
U+3022F	𰈯	rjbk
U+30230	𰈰	rabe
U+30231	𰈱	rhxo
U+30231	𰈱	rmxo
U+30232	𰈲	rcho
