32512	𲔒	rhnk
32513	𲔓	rby
32514	𲔔	ycr
32515	𲔕	erp
32516	𲔖	rwj
32516	𲔖	rwjh
32517	𲔗	grp
32518	𲔘	grp
32519	𲔙	rmla
3251A	𲔚	rmks
3251B	𲔛	rwks
3251C	𲔜	rlwu
3251C	𲔜	rlwv
3251D	𲔝	rhnr
3251E	𲔞	pdrp
3251F	𲔟	gdr
32520	𲔠	rgpd
32521	𲔡	mmrp
32522	𲔢	trp
32523	𲔣	rmow
32524	𲔤	rbkn
32525	𲔥	hurp
32526	𲔦	rod
32527	𲔧	ykrp
32528	𲔨	iorp
32529	𲔩	rimk
3252A	𲔪	rimn
3252B	𲔫	rbms
3252C	𲔬	ssrp
3252D	𲔭	rqmi
3252E	𲔮	rqho
3252F	𲔯	rmhl
32530	𲔰	rije
32531	𲔱	lprp
32532	𲔲	rav
32533	𲔳	rbmj
32534	𲔴	red
32535	𲔵	rehe
32536	𲔶	iur
32537	𲔷	rimu
32538	𲔸	rse
32539	𲔹	rwjd
3253A	𲔺	nlr
3253B	𲔻	rmgf
3253C	𲔼	tmrp
3253D	𲔽	rgom
3253E	𲔾	rjks
3253F	𲔿	rqpu
32540	𲕀	rgw
32541	𲕁	rmdt
32542	𲕂	ahr
32543	𲕃	rrmr
32544	𲕄	rab
32545	𲕅	rwml
32546	𲕆	ninip
32547	𲕇	vrmnr
32548	𲕈	okrp
32549	𲕉	hurp
3254A	𲕊	hdrp
3254B	𲕋	romu
3254C	𲕌	rhog
3254D	𲕍	rhss
3254D	𲕍	riss
3254E	𲕎	resp
3254F	𲕏	rioi
32550	𲕐	rpir
32551	𲕑	rfyn
32552	𲕒	rtge
32553	𲕓	rysm
32553	𲕓	rysy
32554	𲕔	rpsp
32555	𲕕	ryce
32556	𲕖	rykd
32557	𲕗	mmrrp
32558	𲕘	ierp
32559	𲕙	qorp
3255A	𲕚	rgok
3255B	𲕛	rdhl
3255C	𲕜	rjun
3255D	𲕝	jrmgt
3255E	𲕞	jrsql
3255F	𲕟	rrwm
32560	𲕠	rasr
32561	𲕡	rajd
32562	𲕢	rwp
32563	𲕣	rbuh
32564	𲕤	rteu
32565	𲕥	rtve
32566	𲕦	orrp
32567	𲕧	rhlb
32568	𲕨	rhju
32569	𲕩	rcin
3256A	𲕪	rbam
3256B	𲕫	rehu
3256C	𲕬	rpor
3256D	𲕭	rifl
3256D	𲕭	rmfl
3256E	𲕮	rebr
3256F	𲕯	reqd
32570	𲕰	dwrp
32571	𲕱	rgib
32572	𲕲	rqrr
32573	𲕳	rbch
32574	𲕴	ruhi
32575	𲕵	rhye
32576	𲕶	robc
32577	𲕷	rkmb
32578	𲕸	rytk
32579	𲕹	ffbr
3257A	𲕺	ryrp
3257B	𲕻	rpcu
3257C	𲕼	rehv
3257D	𲕽	rkrr
3257E	𲕾	srdoo
3257F	𲕿	rqfu
32580	𲖀	rqog
32581	𲖁	rsjb
32582	𲖂	rdhj
32583	𲖃	rqnt
32584	𲖄	rqtc
32585	𲖅	rmmt
32586	𲖆	rtbm
32587	𲖇	rrmo
32588	𲖈	rypi
32588	𲖈	rypl
32589	𲖉	ropc
3258A	𲖊	rprn
3258B	𲖋	rkht
3258C	𲖌	rhir
3258D	𲖍	rhoi
3258E	𲖎	rtgt
3258F	𲖏	rkav
32590	𲖐	yhrp
32590	𲖐	ykmhp
32591	𲖑	ryyr
32592	𲖒	ryru
32593	𲖓	ryrb
32594	𲖔	rebd
32594	𲖔	rend
32595	𲖕	ryto
32596	𲖖	nqrp
32597	𲖗	rsfi
32598	𲖘	rnlg
32599	𲖙	rqhg
3259A	𲖚	rihm
3259B	𲖛	rgne
3259C	𲖜	rqrj
3259D	𲖝	rqme
3259E	𲖞	rtyj
3259F	𲖟	rtyr
325A0	𲖠	rbul
325A0	𲖠	rbun
325A1	𲖡	rtab
325A2	𲖢	rhlb
325A3	𲖣	roie
325A3	𲖣	rose
325A4	𲖤	rllc
325A5	𲖥	roys
325A6	𲖦	rond
325A7	𲖧	owyd
325A8	𲖨	ryrr
325A9	𲖩	redm
325AA	𲖪	rfyr
325AB	𲖫	rseq
325AC	𲖬	rkrc
325AD	𲖭	rsja
325AE	𲖮	rvfk
325AF	𲖯	rand
325B0	𲖰	kpblp
325B1	𲖱	twarp
325B2	𲖲	rgam
325B3	𲖳	rymw
325B4	𲖴	rqtc
325B5	𲖵	rghf
325B6	𲖶	qyshr
325B7	𲖷	rtkt
325B8	𲖸	rrme
325B9	𲖹	rtbr
325BA	𲖺	bkher
325BB	𲖻	rckl
325BC	𲖼	rodf
325BD	𲖽	roqc
325BE	𲖾	ropc
325BF	𲖿	yromr
325C0	𲗀	yjrp
325C1	𲗁	rkor
325C2	𲗂	riqr
325C3	𲗃	rnlb
325C4	𲗄	reem
325C5	𲗅	rnlt
325C6	𲗆	rnnc
325C7	𲗇	rmgf
325C8	𲗈	rmro
325C9	𲗉	rjju
325CA	𲗊	rtor
325CB	𲗋	rwla
325CC	𲗌	rypl
325CD	𲗍	rwrw
325CE	𲗎	rwdn
325CF	𲗏	lvhmr
325D0	𲗐	rybu
325D1	𲗑	rteb
325D2	𲗒	rejc
325D3	𲗓	ryrk
325D4	𲗔	rfdj
325D5	𲗕	ryjb
325D6	𲗖	rynf
325D7	𲗗	rmhf
325D8	𲗘	rdmf
325D9	𲗙	rgif
325D9	𲗙	rgkf
325DA	𲗚	rmbg
325DB	𲗛	rmnt
325DC	𲗜	rltn
325DD	𲗝	mrdok
325DE	𲗞	ryfc
325DF	𲗟	rtaa
325E0	𲗠	rtic
325E0	𲗠	rtid
325E1	𲗡	rogi
325E2	𲗢	hbjr
325E3	𲗣	rjkf
325E4	𲗤	rloe
325E5	𲗥	ryrd
325E6	𲗦	rsip
325E7	𲗧	rvfe
325E8	𲗨	grice
325E9	𲗩	rqnr
325EA	𲗪	rmtc
325EB	𲗫	rjjm
325EC	𲗬	rqrd
325ED	𲗭	rmfo
325EE	𲗮	grtyv
325EF	𲗯	rtof
325F0	𲗰	ruhk
325F1	𲗱	rtlx
325F2	𲗲	rtwu
325F3	𲗳	ogr
325F4	𲗴	rhdh
325F5	𲗵	rkhi
325F6	𲗶	yrrp
325F7	𲗷	rffr
325F8	𲗸	ryrr
325F9	𲗹	ryrk
325FA	𲗺	rstb
325FB	𲗻	rsjg
325FC	𲗼	riqa
325FD	𲗽	rmbg
325FE	𲗾	rmkg
325FF	𲗿	rjjq
32600	𲘀	rsfd
32601	𲘁	ranr
32602	𲘂	rygs
32603	𲘃	rkhe
32604	𲘄	icrp
32605	𲘅	rfdc
32606	𲘆	ryri
32607	𲘇	ricd
32607	𲘇	ridd
32608	𲘈	rndt
32609	𲘉	rihf
3260A	𲘊	rwwg
3260B	𲘋	racc
3260C	𲘌	rtvk
3260D	𲘍	rmwf
3260E	𲘎	rmge
3260E	𲘎	rmgk
3260F	𲘏	hcbmr
32610	𲘐	ryra
32611	𲘑	redc
32612	𲘒	rmfn
32613	𲘓	rthf
32614	𲘔	rhbu
32615	𲘕	rmbj
32616	𲘖	wlvgp
32617	𲘗	ryre
32618	𲘘	rvfn
32619	𲘙	rtkf
3261A	𲘚	rtst
3261B	𲘛	rmbo
3261C	𲘜	risp
3261D	𲘝	rvfc
3261E	𲘞	wn
3261F	𲘟	hwo
32620	𲘠	wmvu
32621	𲘡	wpkk
32622	𲘢	whgu
32623	𲘣	wylc
32624	𲘤	wmgt
32625	𲘥	wtyv
32626	𲘦	wtmc
32627	𲘧	wtpi
32628	𲘨	wycu
32629	𲘩	wycp
3262A	𲘪	wifl
3262A	𲘪	wmfl
3262B	𲘫	wamg
3262C	𲘬	wwlw
3262D	𲘭	wnwa
3262E	𲘮	wcomb
3262F	𲘯	ombw
32630	𲘰	gln
32631	𲘱	gms
32632	𲘲	gysm
32633	𲘳	gni
32634	𲘴	gmsu
32635	𲘵	gpo
32636	𲘶	ycg
32637	𲘷	gng
32638	𲘸	gmmj
32639	𲘹	gkr
3263A	𲘺	gslb
3263B	𲘻	gpym
3263C	𲘼	opdg
3263D	𲘽	goip
3263E	𲘾	eug
3263F	𲘿	fbg
32640	𲙀	gnsg
32641	𲙁	gnom
32642	𲙂	gmkn
32642	𲙂	gmtn
32643	𲙃	gtnn
32644	𲙄	hbg
32645	𲙅	ghjr
32646	𲙆	gyth
32647	𲙇	mfgpd
32648	𲙈	gnbb
32649	𲙉	gmmv
3264A	𲙊	gwe
3264B	𲙋	gpdk
3264C	𲙌	gyiu
3264C	𲙌	gyiv
3264D	𲙍	gdmmu
3264E	𲙎	gshp
3264E	𲙎	gsip
3264E	𲙎	gskp
3264F	𲙏	gkql
32650	𲙐	qog
32651	𲙑	gdci
32652	𲙒	gkmf
32653	𲙓	ggmob
32654	𲙔	gsje
32655	𲙕	gqsr
32656	𲙖	grlu
32657	𲙗	yeg
32658	𲙘	gami
32659	𲙙	grbm
3265A	𲙚	hrg
3265B	𲙛	ong
3265C	𲙜	ghoe
3265D	𲙝	gioi
3265E	𲙞	gyyk
3265F	𲙟	gjto
32660	𲙠	gkgg
32661	𲙡	gmem
32661	𲙡	gnem
32662	𲙢	glmo
32663	𲙣	grrr
32664	𲙤	gatc
32665	𲙥	gahm
32666	𲙦	kig
32667	𲙧	ghdf
32668	𲙨	ghan
32669	𲙩	erg
3266A	𲙪	gjhr
3266B	𲙫	gmia
3266C	𲙬	guhj
3266D	𲙭	oghhv
3266E	𲙮	gcj
3266F	𲙯	gjco
32670	𲙰	gtkb
32671	𲙱	gnke
32672	𲙲	gjdk
32673	𲙳	gmgw
32674	𲙴	gbov
32675	𲙵	gumk
32676	𲙶	lhg
32677	𲙷	gwlu
32678	𲙸	gwjc
32679	𲙹	okg
3267A	𲙺	ghgs
3267B	𲙻	gjtu
3267C	𲙼	vlg
3267D	𲙽	gyso
3267E	𲙾	gyto
3267F	𲙿	gfqu
32680	𲚀	ntg
32681	𲚁	gnlx
32682	𲚂	gsav
32683	𲚃	gjal
32684	𲚄	gdii
32685	𲚅	gfbk
32686	𲚆	gwdq
32687	𲚇	ganb
32688	𲚈	gnwa
32689	𲚉	gjmw
3268A	𲚊	gthg
3268B	𲚋	gmwf
3268C	𲚌	mvg
3268D	𲚍	gmtm
3268E	𲚎	jboog
3268F	𲚏	gypb
32690	𲚐	gogs
32691	𲚑	bkgg
32692	𲚒	ghws
32693	𲚓	efg
32694	𲚔	glx
32695	𲚕	gkoi
32696	𲚖	geg
32697	𲚗	gmar
32698	𲚘	ghjr
32699	𲚙	ghir
3269A	𲚚	gish
3269B	𲚛	efg
3269C	𲚜	tkg
3269D	𲚝	cbg
3269E	𲚞	ghbu
3269E	𲚞	ghku
3269F	𲚟	gtlf
326A0	𲚠	rog
326A1	𲚡	ghsc
326A2	𲚢	jrg
326A3	𲚣	yvg
326A4	𲚤	gsjg
326A5	𲚥	oguhi
326A6	𲚦	gffr
326A7	𲚧	gjto
326A8	𲚨	vug
326A9	𲚩	wlvgg
326AA	𲚪	ghnr
326AB	𲚫	gyuu
326AC	𲚬	yng
326AD	𲚭	giymh
326AE	𲚮	geykr
326AF	𲚯	vnni
326B0	𲚰	nimms
326B1	𲚱	tni
326B2	𲚲	niau
326B3	𲚳	qkni
326B4	𲚴	nndh
326B5	𲚵	nnau
326B6	𲚶	nnslb
326B7	𲚷	nnkb
326B8	𲚸	tvnin
326B9	𲚹	nnwp
326BA	𲚺	nnywf
326BB	𲚻	nnnlo
326BC	𲚼	qon
326BD	𲚽	ka
326BE	𲚾	kma
326BF	𲚿	mkdm
326C0	𲛀	kobo
326C1	𲛁	kyrn
326C2	𲛂	dek
326C3	𲛃	kttc
326C4	𲛄	khoi
326C5	𲛅	mrk
326C6	𲛆	knowy
326C7	𲛇	hok
326C8	𲛈	krwln
326C9	𲛉	hbk
326CA	𲛊	vyiu
326CB	𲛋	qnv
326CC	𲛌	vrks
326CD	𲛍	vfe
326CE	𲛎	vmhl
326CF	𲛏	vbms
326D0	𲛐	spv
326D1	𲛑	amv
326D2	𲛒	vii
326D3	𲛓	vrbm
326D4	𲛔	fbv
326D5	𲛕	vlqc
326D6	𲛖	vbbe
326D7	𲛗	vhjp
326D8	𲛘	vesp
326D9	𲛙	vhss
326D9	𲛙	viss
326DA	𲛚	veomi
326DB	𲛛	vsuu
326DC	𲛜	vmem
326DC	𲛜	vnem
326DD	𲛝	vmwg
326DE	𲛞	vypq
326DF	𲛟	vjhr
326E0	𲛠	vjsl
326E1	𲛡	vfcq
326E2	𲛢	vskv
326E3	𲛣	buv
326E4	𲛤	vhhl
326E5	𲛥	vywo
326E6	𲛦	iovau
326E6	𲛦	movau
326E7	𲛧	ipv
326E8	𲛨	vsev
326E9	𲛩	vmrj
326E9	𲛩	vmrt
326EA	𲛪	vpmc
326EB	𲛫	vtwd
326EC	𲛬	vanr
326ED	𲛭	veye
326EE	𲛮	jsv
326EF	𲛯	vumc
326F0	𲛰	vlyp
326F1	𲛱	vsef
326F2	𲛲	vani
326F2	𲛲	vanl
326F3	𲛳	vnbe
326F4	𲛴	ocv
326F5	𲛵	vsrj
326F6	𲛶	vani
326F7	𲛷	vgrf
326F8	𲛸	vthw
326F9	𲛹	oyvtd
326FA	𲛺	vicr
326FA	𲛺	vidr
326FB	𲛻	wwksv
326FC	𲛼	ndnhs
326FD	𲛽	ndynn
326FE	𲛾	ndhhv
326FF	𲛿	ndwks
32700	𲜀	ndndt
32701	𲜁	ndjrr
32702	𲜂	kdapp
32703	𲜃	bdijb
32704	𲜄	bdojk
32705	𲜅	ndfdq
32706	𲜆	ndhou
32707	𲜇	ndhou
32708	𲜈	ndlyi
32709	𲜉	jdh
3270A	𲜊	jhhh
3270B	𲜋	jhs
3270B	𲜋	jis
3270C	𲜌	jlbk
3270D	𲜍	jmtl
3270E	𲜎	jnjmn
3270F	𲜏	jwjp
32710	𲜐	jihr
32711	𲜑	jijnd
32712	𲜒	jfob
32713	𲜓	jijdi
32714	𲜔	jcrp
32715	𲜕	jhtg
32716	𲜖	jamr
32717	𲜗	jhwp
32718	𲜘	jixp
32719	𲜙	jmtmh
